,PDB,CHAIN,SP_PRIMARY,RES_BEG,RES_END,PDB_BEG,PDB_END,SP_BEG,SP_END
86406,2i0d,A,O38731,1,99,1,99,1,99
86407,2i0d,B,O38731,1,99,1,99,1,99
86408,2i0e,A,P05771,1,347,,667,321,668
86409,2i0e,B,P05771,1,347,,667,321,668
86452,2i0v,A,P07333,4,335,,,538,922
86455,2i0y,A,P07333,4,335,,,538,922
86456,2i0z,A,Q816V9,25,447,1,,1,423
86461,2i14,A,Q8TZS9,7,395,1,389,1,389
86462,2i14,B,Q8TZS9,7,395,401,789,1,389
86463,2i14,C,Q8TZS9,7,395,1001,1389,1,389
86464,2i14,D,Q8TZS9,7,395,1401,1789,1,389
86465,2i14,E,Q8TZS9,7,395,2001,2389,1,389
86466,2i14,F,Q8TZS9,7,395,2401,2789,1,389
86470,2i16,A,P15121,1,316,1,,1,316
86471,2i17,A,P15121,1,316,1,,1,316
86473,2i19,A,Q86C09,24,390,1,367,1,367
86474,2i19,B,Q86C09,24,390,1,367,1,367
86488,2i1m,A,P07333,4,333,,,538,922
86500,2i1v,B,Q16875,1,520,,,1,520
86591,2i2z,A,P02768,1,585,,,25,609
86592,2i30,A,P02768,1,585,,,25,609
86601,2i35,A,P02699,2,349,1,,1,348
86625,2i3g,A,P9WPZ9,1,352,,352,1,352
86626,2i3g,B,P9WPZ9,1,352,,352,1,352
86671,2i40,A,P24941,1,298,1,,1,298
86672,2i40,B,P20248,1,260,,,173,432
86673,2i40,C,P24941,1,298,1,,1,298
86674,2i40,D,P20248,1,260,,432,173,432
86691,2i47,A,P78536,1,282,,,212,493
86692,2i47,B,P78536,1,282,,,212,493
86693,2i47,C,P78536,1,282,,,212,493
86694,2i47,D,P78536,1,282,,,212,493
86699,2i4d,A,P03366,1,99,1,99,501,599
86700,2i4d,B,P03366,1,99,201,299,501,599
86706,2i4j,A,P37231,5,286,,476,223,504
86707,2i4j,B,P37231,5,286,,476,223,504
86712,2i4m,A,Q6N5P6,21,458,1,,1,438
86713,2i4m,B,Q6N5P6,21,458,1,438,1,438
86714,2i4m,C,Q6N5P6,21,458,1,438,1,438
86715,2i4n,A,Q6N5P6,21,458,1,438,1,438
86716,2i4n,B,Q6N5P6,21,458,1,438,1,438
86717,2i4n,C,Q6N5P6,21,458,1,438,1,438
86721,2i4p,A,P37231,5,286,,476,223,504
86722,2i4p,B,P37231,5,286,,476,223,504
86723,2i4q,A,P00797,2,336,1,335,72,406
86724,2i4q,B,P00797,2,336,1,335,72,406
86729,2i4t,A,A2E7Y6,1,235,1,235,2,236
86730,2i4t,B,A2E7Y6,1,235,1,235,2,236
86731,2i4t,C,A2E7Y6,1,235,1,235,2,236
86732,2i4u,A,P03366,1,99,1,99,501,599
86733,2i4u,B,P03366,1,99,201,299,501,599
86734,2i4v,A,P03366,1,99,1,99,501,599
86735,2i4v,B,P03366,1,99,201,299,501,599
86736,2i4w,A,P03366,1,99,1,99,501,599
86737,2i4w,B,P03366,1,99,201,299,501,599
86738,2i4x,A,P03366,1,99,1,99,501,599
86739,2i4x,B,P03366,1,99,201,299,501,599
86740,2i4z,A,P37231,5,286,,476,223,504
86741,2i4z,B,P37231,5,286,,476,223,504
86743,2i51,A,B2J933,2,195,1,194,1,194
86744,2i51,B,B2J933,2,195,1,194,1,194
86769,2i5b,A,P39610,1,271,,271,1,271
86770,2i5b,B,P39610,1,271,,,1,271
86771,2i5b,C,P39610,1,271,,,1,271
86772,2i5b,D,P39610,1,271,,,1,271
86773,2i5b,E,P39610,1,271,,,1,271
86792,2i5n,C,P07173,1,336,1,,21,356
86793,2i5n,H,P06008,1,258,1,258,1,258
86794,2i5n,L,P06009,1,273,1,273,2,274
86795,2i5n,M,P06010,1,323,1,323,2,324
86829,2i62,A,O55239,2,265,,,1,264
86830,2i62,B,O55239,2,265,,265,1,264
86831,2i62,C,O55239,2,265,,,1,264
86832,2i62,D,O55239,2,265,,,1,264
86833,2i65,A,P28907,7,262,,,45,300
86834,2i65,B,P28907,7,262,45,,45,300
86842,2i6a,A,P55263,3,345,3,345,20,362
86843,2i6a,B,P55263,3,345,3,345,20,362
86844,2i6a,C,P55263,3,345,3,345,20,362
86845,2i6a,D,P55263,3,345,3,345,20,362
86846,2i6b,A,P55263,3,345,3,,20,362
86847,2i6b,B,P55263,3,345,3,,20,362
86894,2i76,A,Q9X250,4,266,2,,2,264
86895,2i76,B,Q9X250,4,266,2,,2,264
86924,2i7n,A,Q8TE04,1,360,,593,234,593
86925,2i7n,B,Q8TE04,1,360,234,593,234,593
86927,2i7p,A,Q9H999,6,362,12,368,12,368
86928,2i7p,B,Q9H999,6,362,12,368,12,368
86929,2i7p,C,Q9H999,6,362,12,,12,368
86930,2i7p,D,Q9H999,6,362,12,,12,368
86941,2i80,A,Q5HEB7,1,356,,356,1,356
86942,2i80,B,Q5HEB7,1,356,,356,1,356
86969,2i8c,A,Q5HEB7,1,356,,356,1,356
86970,2i8c,B,Q5HEB7,1,356,,356,1,356
87015,2i9k,A,P05102,1,327,1,327,1,327
87020,2i9p,A,P31937,23,319,40,,40,336
87021,2i9p,B,P31937,23,319,40,,40,336
87022,2i9p,C,P31937,23,319,40,,40,336
87023,2i9p,D,P31937,23,319,40,,40,336
87196,2ibs,A,P14385,1,421,,,1,421
87197,2ibs,D,P14385,1,421,,,1,421
87198,2ibt,A,P14385,1,421,,,1,421
87199,2ibt,D,P14385,1,421,,,1,421
87200,2ibu,A,P24752,1,395,,427,33,427
87201,2ibu,B,P24752,1,395,,427,33,427
87202,2ibu,C,P24752,1,395,,427,33,427
87203,2ibu,D,P24752,1,395,,427,33,427
87204,2ibw,A,P24752,1,395,,427,33,427
87205,2ibw,B,P24752,1,395,,427,33,427
87206,2ibw,C,P24752,1,395,,427,33,427
87207,2ibw,D,P24752,1,395,,427,33,427
87214,2iby,A,P24752,1,395,,427,33,427
87215,2iby,B,P24752,1,395,,427,33,427
87216,2iby,C,P24752,1,395,,427,33,427
87217,2iby,D,P24752,1,395,,427,33,427
87218,2ibz,A,P07256,1,431,27,457,27,457
87219,2ibz,B,P07257,1,352,17,368,17,368
87220,2ibz,C,P00163,1,385,1,385,1,385
87221,2ibz,D,P07143,1,248,62,,62,309
87222,2ibz,E,P08067,1,185,31,215,31,215
87223,2ibz,F,P00128,1,127,,127,1,127
87224,2ibz,G,P08525,1,94,,94,1,94
87225,2ibz,H,P00127,1,74,74,147,74,147
87226,2ibz,I,P22289,1,66,,,1,66
87227,2ibz,X,P18531,1,98,1,98,19,116
87228,2ibz,Y,A0N6Y3,1,107,1,107,1,107
87233,2ic3,A,P03366,1,560,1,,600,1159
87234,2ic3,B,P03366,1,447,1,,600,1046
87236,2ic5,A,P60763,2,179,1,178,1,178
87237,2ic5,B,P60763,2,179,1,178,1,178
87286,2icx,A,Q9M9P3,2,469,,469,2,469
87287,2icx,B,Q9M9P3,2,469,,469,2,469
87288,2icy,A,Q9M9P3,2,469,,,2,469
87289,2icy,B,Q9M9P3,2,469,,469,2,469
87296,2id2,A,Q59931,1,475,,475,1,475
87297,2id2,B,Q59931,1,475,,475,1,475
87298,2id2,C,Q59931,1,475,,475,1,475
87299,2id2,D,Q59931,1,475,,475,1,475
87347,2idk,A,P13255,1,292,,292,2,293
87348,2idk,B,P13255,1,292,1,292,2,293
87349,2idk,C,P13255,1,292,1,292,2,293
87350,2idk,D,P13255,1,292,1,292,2,293
87354,2ido,A,P03007,1,186,,,1,186
87355,2ido,B,Q71T70,1,83,,,5,87
87356,2ido,C,P03007,1,186,,,1,186
87357,2ido,D,Q71T70,1,83,1,,5,87
87364,2idv,A,P29557,1,177,39,215,39,215
87365,2idw,A,P03366,1,99,1,99,501,599
87366,2idw,B,P03366,1,99,101,199,501,599
87367,2idx,A,Q96EY8,2,196,,,56,250
87368,2idx,B,Q96EY8,2,196,,,56,250
87369,2idx,C,Q96EY8,2,196,,,56,250
87371,2idz,A,P9WGR1,1,268,2,269,2,269
87372,2ie0,A,P9WGR1,1,268,2,269,2,269
87386,2iea,A,P0AFG8,1,886,,886,2,887
87387,2iea,B,P0AFG8,1,886,,886,2,887
87388,2ieb,A,P9WGR1,1,268,2,269,2,269
87402,2ieg,A,P00489,1,842,,,2,843
87403,2ieg,B,P00489,1,842,,,2,843
87404,2ieh,A,P52732,1,367,,,2,368
87405,2ieh,B,P52732,1,367,,,2,368
87406,2iei,A,P00489,1,842,,,2,843
87407,2iei,B,P00489,1,842,,,2,843
87408,2iej,A,P49354,1,379,,,1,379
87409,2iej,B,P49356,1,437,,,1,437
87414,2ien,A,P03367,1,99,1,99,501,599
87415,2ien,B,P03367,1,99,101,199,501,599
87416,2ieo,A,P03366,1,99,1,99,501,599
87417,2ieo,B,P03366,1,99,101,199,501,599
87455,2if8,A,P07250,1,355,,355,1,355
87456,2if8,B,P07250,1,355,,355,1,355
87459,2ifa,A,Q8DW21,1,200,,200,1,200
87460,2ifa,B,Q8DW21,1,200,,200,1,200
87461,2ifa,C,Q8DW21,1,200,,200,1,200
87462,2ifa,D,Q8DW21,1,200,,200,1,200
87463,2ifa,E,Q8DW21,1,200,,200,1,200
87464,2ifa,F,Q8DW21,1,200,,200,1,200
87549,2ign,A,Q7ZA32,1,623,,,1,623
87550,2ign,B,Q7ZA32,1,623,,,1,623
87551,2ign,C,Q7ZA32,1,623,,,1,623
87552,2ign,D,Q7ZA32,1,623,,,1,623
87553,2ign,E,Q7ZA32,1,623,,,1,623
87554,2ign,F,Q7ZA32,1,623,,,1,623
87555,2ign,G,Q7ZA32,1,623,,,1,623
87556,2ign,H,Q7ZA32,1,623,,,1,623
87557,2igo,A,Q7ZA32,1,623,,,1,623
87558,2igo,B,Q7ZA32,1,623,,,1,623
87559,2igo,C,Q7ZA32,1,623,,,1,623
87560,2igo,D,Q7ZA32,1,623,,,1,623
87561,2igo,E,Q7ZA32,1,623,,,1,623
87562,2igo,F,Q7ZA32,1,623,,,1,623
87563,2igo,G,Q7ZA32,1,623,,,1,623
87564,2igo,H,Q7ZA32,1,623,,,1,623
87566,2igq,A,Q9H9B1,1,285,,1235,982,1266
87567,2igq,B,Q9H9B1,1,285,,1235,982,1266
87582,2igx,A,P46925,1,329,1,329,125,453
87583,2igy,A,P46925,1,329,1,329,125,453
87584,2igy,B,P46925,1,329,1,329,125,453
87586,2ih2,A,P14385,1,421,,,1,421
87587,2ih2,D,P14385,1,421,,,1,421
87589,2ih4,A,P14385,1,421,,,1,421
87590,2ih4,D,P14385,1,421,,,1,421
87591,2ih5,A,P14385,1,421,,,1,421
87620,2iht,A,Q9LCV9,1,573,,573,1,573
87621,2iht,B,Q9LCV9,1,573,,573,1,573
87622,2iht,C,Q9LCV9,1,573,,573,1,573
87623,2iht,D,Q9LCV9,1,573,,573,1,573
87624,2ihu,A,Q9LCV9,1,573,,,1,573
87625,2ihu,B,Q9LCV9,1,573,,,1,573
87626,2ihu,C,Q9LCV9,1,573,,,1,573
87627,2ihu,D,Q9LCV9,1,573,,,1,573
87628,2ihv,A,Q9LCV9,1,573,,573,1,573
87629,2ihv,B,Q9LCV9,1,573,,573,1,573
87630,2ihv,C,Q9LCV9,1,573,,,1,573
87631,2ihv,D,Q9LCV9,1,573,,573,1,573
87650,2ii3,A,P11181,3,262,,421,223,482
87651,2ii3,B,P11181,3,262,,421,223,482
87652,2ii3,C,P11181,3,262,,421,223,482
87653,2ii3,D,P11181,3,262,,421,223,482
87654,2ii3,E,P11181,3,262,,421,223,482
87655,2ii3,F,P11181,3,262,,421,223,482
87656,2ii3,G,P11181,3,262,,421,223,482
87657,2ii3,H,P11181,3,262,,421,223,482
87658,2ii4,A,P11181,3,262,,421,223,482
87659,2ii4,B,P11181,3,262,,421,223,482
87660,2ii4,C,P11181,3,262,,421,223,482
87661,2ii4,D,P11181,3,262,,421,223,482
87662,2ii4,E,P11181,3,262,,421,223,482
87663,2ii4,F,P11181,3,262,,421,223,482
87664,2ii4,G,P11181,3,262,,421,223,482
87665,2ii4,H,P11181,3,262,,421,223,482
87666,2ii5,A,P11181,3,262,,421,223,482
87667,2ii5,B,P11181,3,262,,421,223,482
87668,2ii5,C,P11181,3,262,,421,223,482
87669,2ii5,D,P11181,3,262,,421,223,482
87670,2ii5,E,P11181,3,262,,421,223,482
87671,2ii5,F,P11181,3,262,,421,223,482
87672,2ii5,G,P11181,3,262,,421,223,482
87673,2ii5,H,P11181,3,262,,421,223,482
87674,2ii6,A,Q15KI8,2,388,26,412,26,412
87696,2iib,A,Q15KI8,2,388,26,412,26,412
87701,2iid,A,P81382,1,498,,,19,516
87702,2iid,B,P81382,1,498,,,19,516
87703,2iid,C,P81382,1,498,,,19,516
87704,2iid,D,P81382,1,498,,,19,516
87722,2iiq,A,Q15KI8,2,388,26,412,26,412
87723,2iiq,B,Q15KI8,2,388,26,412,26,412
87759,2ij7,A,P9WPP7,1,396,,396,1,396
87760,2ij7,B,P9WPP7,1,396,,396,1,396
87761,2ij7,C,P9WPP7,1,396,,396,1,396
87762,2ij7,D,P9WPP7,1,396,,396,1,396
87763,2ij7,E,P9WPP7,1,396,,396,1,396
87764,2ij7,F,P9WPP7,1,396,,396,1,396
87781,2ijg,X,Q84KJ5,1,526,1,,44,569
87793,2ijm,A,Q05397,3,281,,,411,689
87794,2ijm,B,Q05397,3,281,,689,411,689
87844,2ikf,A,Q381M1,21,353,,333,1,333
87845,2ikf,B,Q381M1,21,353,,,1,333
87847,2ikh,A,P15121,1,316,,315,1,316
87848,2iki,A,P15121,1,316,,,1,316
87849,2ikj,A,P15121,1,316,,315,1,316
87852,2iko,A,P00797,1,340,,335,67,406
87853,2iko,B,P00797,1,340,,335,67,406
87859,2iku,A,P00797,1,340,,335,67,406
87860,2iku,B,P00797,1,340,,335,67,406
87862,2il2,A,P00797,1,340,,335,67,406
87863,2il2,B,P00797,1,340,,335,67,406
87883,2ilt,A,P28845,14,275,24,285,24,285
87884,2ilu,A,P25553,1,479,,479,1,479
87885,2ilv,A,Q15KI8,3,389,26,412,26,412
87908,2imf,A,Q51948,1,203,1,203,1,203
87918,2imk,A,Q7PVS6,1,219,,219,1,219
87919,2imk,B,Q7PVS6,1,219,1,219,1,219
87920,2iml,A,O28442,4,191,2,189,2,189
87921,2iml,B,O28442,4,191,2,189,2,189
87922,2iml,C,O28442,4,191,2,189,2,189
87923,2iml,D,O28442,4,191,2,189,2,189
87926,2imp,A,P25553,1,479,,479,1,479
87941,2in6,A,P30291,3,287,291,,291,575
87950,2ine,A,P15121,1,315,,315,2,316
87985,2inx,A,P07445,1,131,,,1,131
87987,2inz,A,P15121,1,315,1,315,2,316
88009,2io6,A,P30291,3,287,291,,291,575
88010,2io7,A,P0AES0,1,619,,,1,619
88011,2io7,B,P0AES0,1,619,,,1,619
88012,2io8,A,P0AES0,1,619,,,1,619
88013,2io8,B,P0AES0,1,619,,,1,619
88014,2io9,A,P0AES0,1,619,,,1,619
88015,2io9,B,P0AES0,1,619,,,1,619
88016,2ioa,A,P0AES0,1,619,,,1,619
88017,2ioa,B,P0AES0,1,619,,,1,619
88022,2iod,A,P51110,1,337,,,1,337
88023,2iod,B,P51110,1,337,1,,1,337
88024,2iod,C,P51110,1,337,,,1,337
88025,2iod,D,P51110,1,337,,,1,337
88028,2iog,A,P03372,1,246,309,,309,554
88036,2iok,A,P03372,1,254,,,301,554
88037,2iok,B,P03372,1,254,,,301,554
88050,2ior,A,P0A6Z3,21,235,1,,1,215
88089,2ipi,A,Q0PCD7,20,521,,,44,545
88090,2ipi,B,Q0PCD7,20,521,,,44,545
88091,2ipi,C,Q0PCD7,20,521,,,44,545
88092,2ipi,D,Q0PCD7,20,521,,,44,545
88093,2ipj,A,P52895,1,321,3,323,3,323
88094,2ipj,B,P52895,1,321,3,323,3,323
88120,2ipw,A,P15121,1,315,,315,2,316
88126,2iq0,A,P15121,1,315,,315,2,316
88145,2iqd,A,P15121,1,315,1,315,2,316
88148,2iqg,A,P56817,2,400,,,57,455
88195,2irz,A,P56817,2,405,,385,43,446
88196,2is0,A,P56817,2,405,,385,43,446
88213,2is7,A,P15121,1,315,1,315,2,316
88227,2isc,A,A2E7Y6,1,235,1,235,2,236
88228,2isc,B,A2E7Y6,1,235,1,235,2,236
88229,2isc,C,A2E7Y6,1,235,1,235,2,236
88230,2isc,D,A2E7Y6,1,235,1,235,2,236
88231,2isc,E,A2E7Y6,1,235,1,235,2,236
88232,2isc,F,A2E7Y6,1,235,1,235,2,236
88237,2isf,A,P15121,1,315,,315,2,316
88245,2isj,A,Q92PC8,4,230,,227,1,227
88246,2isj,B,Q92PC8,4,230,,227,1,227
88247,2isj,C,Q92PC8,4,230,,227,1,227
88248,2isj,D,Q92PC8,4,230,,227,1,227
88249,2isj,E,Q92PC8,4,230,,227,1,227
88250,2isj,F,Q92PC8,4,230,,227,1,227
88251,2isj,G,Q92PC8,4,230,,227,1,227
88252,2isj,H,Q92PC8,4,230,,227,1,227
88253,2isk,A,Q92PC8,4,230,,227,1,227
88254,2isk,B,Q92PC8,4,230,,227,1,227
88255,2isk,C,Q92PC8,4,230,,227,1,227
88256,2isk,D,Q92PC8,4,230,,227,1,227
88257,2isk,E,Q92PC8,4,230,,227,1,227
88258,2isk,F,Q92PC8,4,230,,227,1,227
88259,2isk,G,Q92PC8,4,230,,227,1,227
88260,2isk,H,Q92PC8,4,230,,227,1,227
88261,2isl,A,Q92PC8,4,230,,227,1,227
88262,2isl,B,Q92PC8,4,230,,227,1,227
88263,2isl,C,Q92PC8,4,230,,227,1,227
88264,2isl,D,Q92PC8,4,230,,227,1,227
88265,2isl,E,Q92PC8,4,230,,227,1,227
88266,2isl,F,Q92PC8,4,230,,227,1,227
88267,2isl,G,Q92PC8,4,230,,227,1,227
88268,2isl,H,Q92PC8,4,230,,227,1,227
88340,2itn,A,P00533,1,327,696,,696,1022
88342,2itp,A,P00533,1,327,,,696,1022
88343,2itq,A,P00533,1,327,,,696,1022
88344,2itt,A,P00533,1,327,,,696,1022
88345,2itu,A,P00533,1,327,696,,696,1022
88346,2itv,A,P00533,1,327,696,,696,1022
88347,2itw,A,P00533,1,327,696,,696,1022
88348,2itx,A,P00533,1,327,,,696,1022
88350,2itz,A,P00533,1,327,,,696,1022
88351,2iu0,A,P31335,1,593,,593,1,593
88352,2iu0,B,P31335,1,593,,593,1,593
88355,2iu3,A,P31335,1,593,,593,1,593
88356,2iu3,B,P31335,1,593,,593,1,593
88373,2iu8,A,P0CD76,21,374,1,,1,354
88374,2iu8,B,P0CD76,21,374,1,,1,354
88375,2iu8,C,P0CD76,21,374,,,1,354
88454,2iut,A,Q9I0M3,2,566,,,247,811
88455,2iut,B,Q9I0M3,2,566,,,247,811
88456,2iuu,A,Q9I0M3,2,483,,,247,728
88457,2iuu,B,Q9I0M3,2,483,,,247,728
88458,2iuu,C,Q9I0M3,2,483,,,247,728
88459,2iuu,D,Q9I0M3,2,483,,,247,728
88460,2iuu,E,Q9I0M3,2,483,,,247,728
88461,2iuu,F,Q9I0M3,2,483,,,247,728
88467,2iux,A,P12821,1,591,,,642,1232
88470,2iuz,A,Q873X9,1,433,,433,1,433
88471,2iuz,B,Q873X9,1,433,,433,1,433
88509,2ivd,A,P56601,9,478,,,2,471
88510,2ivd,B,P56601,9,478,,,2,471
88511,2ive,A,P56601,9,478,,,2,471
88512,2ive,B,P56601,9,478,,,2,471
88513,2ivf,A,Q5P5I0,1,976,,976,1,976
88514,2ivf,B,Q5P5I1,1,352,,352,1,352
88515,2ivf,C,Q5P5I2,1,214,1,214,1,214
88527,2ivi,B,P05326,1,331,,331,1,331
88535,2ivn,A,Q9UXT7,1,324,1,324,1,324
88540,2ivp,A,Q9UXT7,1,324,1,324,1,324
88554,2ivu,A,P07949,4,314,703,,703,1013
88555,2ivv,A,P07949,4,314,703,,703,1013
88569,2iw1,A,P25740,1,374,,,1,374
88576,2iw5,A,O60341,1,666,171,836,171,836
88577,2iw5,B,Q9UKL0,39,235,,,289,485
88578,2iw6,A,P24941,5,302,1,,1,298
88579,2iw6,B,P20248,2,260,,432,174,432
88580,2iw6,C,P24941,5,302,1,,1,298
88581,2iw6,D,P20248,2,260,,432,174,432
88582,2iw8,A,P24941,5,302,1,,1,298
88583,2iw8,B,P20248,2,260,,432,174,432
88584,2iw8,C,P24941,5,302,1,,1,298
88585,2iw8,D,P20248,2,260,,432,174,432
88586,2iw9,A,P24941,5,302,1,,1,298
88587,2iw9,B,P20248,2,260,,432,174,432
88588,2iw9,C,P24941,5,302,1,,1,298
88589,2iw9,D,P20248,2,260,,432,174,432
88594,2iwe,A,P00282,1,128,1,128,21,148
88595,2iwe,D,P00282,1,128,1,128,21,148
88596,2iwe,G,P00282,1,128,1,128,21,148
88597,2iwe,J,P00282,1,128,1,128,21,148
88604,2iwh,A,P16521,7,986,1,,2,981
88605,2iwh,B,P16521,7,986,1,,2,981
88623,2iws,A,P02829,1,214,1,214,1,214
88626,2iwu,A,P02829,1,214,1,214,1,214
88633,2iwx,A,P02829,1,214,1,214,1,214
88647,2ix5,A,Q96329,1,436,,,1,436
88648,2ix5,B,Q96329,1,436,,,1,436
88649,2ix5,C,Q96329,1,436,,,1,436
88650,2ix5,D,Q96329,1,436,,,1,436
88663,2ixa,A,A4Q8F7,1,444,,444,1,444
88664,2ixb,A,A4Q8F7,1,444,,444,1,444
88683,2ixk,A,Q9HU21,4,184,4,184,1,181
88684,2ixk,B,Q9HU21,4,184,4,184,1,181
88749,2iya,A,Q3HTL7,1,424,,,1,424
88750,2iya,B,Q3HTL7,1,424,,,1,424
88765,2iyf,A,Q53685,1,415,,,1,415
88766,2iyf,B,Q53685,1,415,,,1,415
88767,2iyg,A,Q3J677,1,124,,,1,124
88768,2iyg,B,Q3J677,1,124,,,1,124
88769,2iyi,A,Q3J677,1,124,,,1,124
88770,2iyi,B,Q3J677,1,124,,,1,124
88780,2iyp,A,P96789,2,473,1,,1,472
88781,2iyp,B,P96789,2,473,1,,1,472
88782,2iyp,C,P96789,2,473,,,1,472
88824,2izf,B,P22629,1,123,13,135,37,159
88825,2izf,D,P22629,1,123,13,,37,159
88826,2izg,B,P22629,1,123,13,135,37,159
88827,2izg,D,P22629,1,123,13,,37,159
88828,2izh,B,P22629,1,123,13,,37,159
88829,2izh,D,P22629,1,123,13,,37,159
88830,2izi,A,P22629,1,123,13,,37,159
88831,2izj,A,P22629,1,123,13,,37,159
88832,2izk,A,P22629,1,123,13,135,37,159
88833,2izl,B,P22629,1,123,13,,37,159
88834,2izl,D,P22629,1,123,13,,37,159
88846,2izr,A,Q9Y6M4,1,330,,,33,362
88847,2izs,A,Q9Y6M4,3,330,,,35,362
88848,2izt,A,Q9Y6M4,3,330,,,35,362
88849,2izu,A,Q9Y6M4,1,330,,,33,362
88887,2j07,A,P61497,1,420,,420,1,420
88888,2j08,A,P61497,1,420,,420,1,420
88889,2j09,A,P61497,1,420,,420,1,420
88892,2j0d,A,P08684,3,481,,,25,503
88893,2j0d,B,P08684,3,481,,,25,503
88913,2j0j,A,Q00944,1,656,,686,31,686
88914,2j0k,A,Q00944,1,656,,686,31,686
88915,2j0k,B,Q00944,1,656,,686,31,686
88916,2j0l,A,Q00944,1,276,411,686,411,686
88917,2j0m,A,Q00944,3,371,31,,31,399
88918,2j0m,B,Q00944,1,276,,686,411,686
88933,2j0s,A,P38919,1,410,,411,2,411
88934,2j0s,C,P61326,1,146,,146,1,146
88935,2j0s,D,Q9Y5S9,1,89,66,154,66,154
88936,2j0s,T,O15234,1,150,,,137,286
88946,2j0v,A,O82480,4,212,1,,1,209
88947,2j0v,B,O82480,4,212,1,,1,209
88948,2j0v,C,O82480,4,212,,,1,209
88949,2j0v,D,O82480,4,212,1,,1,209
88974,2j14,A,Q03181,7,285,,,163,441
88975,2j14,B,Q03181,7,285,,,163,441
89097,2j2i,B,P11309,1,312,,,1,312
89108,2j2p,A,Q15485,1,218,,288,96,313
89109,2j2p,B,Q15485,1,218,71,288,96,313
89110,2j2p,C,Q15485,1,218,,288,96,313
89111,2j2p,D,Q15485,1,218,,288,96,313
89112,2j2p,E,Q15485,1,218,71,288,96,313
89113,2j2p,F,Q15485,1,218,,288,96,313
89123,2j34,A,P00742,1,254,16,,235,488
89124,2j34,B,P00742,1,134,,,46,179
89149,2j3i,A,Q39172,1,345,1,345,1,345
89150,2j3i,B,Q39172,1,345,1001,1345,1,345
89151,2j3j,A,Q39172,1,345,1,345,1,345
89152,2j3j,B,Q39172,1,345,1001,1345,1,345
89153,2j3k,A,Q39172,1,345,1,345,1,345
89154,2j3k,B,Q39172,1,345,1001,1345,1,345
89159,2j3n,A,Q16881,10,519,,,140,649
89160,2j3n,B,Q16881,10,519,,,140,649
89161,2j3n,C,Q16881,10,519,,499,140,649
89162,2j3n,D,Q16881,10,519,,499,140,649
89163,2j3n,E,Q16881,10,519,,499,140,649
89164,2j3n,F,Q16881,10,519,,,140,649
89173,2j3q,A,P04058,1,543,,,22,564
89202,2j40,A,Q5SI02,1,516,1,516,1,516
89203,2j40,B,Q5SI02,1,516,1,516,1,516
89204,2j41,A,Q5HGM3,1,207,,,1,207
89205,2j41,B,Q5HGM3,1,207,,,1,207
89206,2j41,C,Q5HGM3,1,207,,,1,207
89207,2j41,D,Q5HGM3,1,207,,,1,207
89219,2j4a,A,P10828,1,253,,461,209,461
89226,2j4d,A,Q84KJ5,1,525,,,45,569
89227,2j4d,B,Q84KJ5,1,525,,,45,569
89249,2j4k,A,Q97ZE2,1,226,1,226,2,227
89250,2j4k,B,Q97ZE2,1,226,1,226,2,227
89251,2j4k,C,Q97ZE2,1,226,1,226,2,227
89252,2j4k,D,Q97ZE2,1,226,1,226,2,227
89253,2j4k,E,Q97ZE2,1,226,1,226,2,227
89254,2j4k,F,Q97ZE2,1,226,1,226,2,227
89255,2j4l,A,Q97ZE2,1,226,1,226,2,227
89256,2j4l,B,Q97ZE2,1,226,1,226,2,227
89257,2j4l,C,Q97ZE2,1,226,1,226,2,227
89258,2j4l,D,Q97ZE2,1,226,1,226,2,227
89259,2j4l,E,Q97ZE2,1,226,1,226,2,227
89260,2j4l,F,Q97ZE2,1,226,1,226,2,227
89261,2j4l,G,Q97ZE2,1,226,1,226,2,227
89262,2j4l,H,Q97ZE2,1,226,1,226,2,227
89263,2j4l,I,Q97ZE2,1,226,1,226,2,227
89264,2j4l,J,Q97ZE2,1,226,1,226,2,227
89265,2j4l,K,Q97ZE2,1,226,1,226,2,227
89266,2j4l,L,Q97ZE2,1,226,1,226,2,227
89270,2j4q,A,P28248,1,193,1,,1,193
89271,2j4q,B,P28248,1,193,1,,1,193
89293,2j4z,A,O14965,3,306,,,100,403
89294,2j4z,B,O14965,3,306,,,100,403
89295,2j50,A,O14965,3,280,,,126,403
89296,2j50,B,O14965,3,280,,,126,403
89346,2j5b,A,Q5UPJ7,4,348,,,2,346
89347,2j5b,B,Q5UPJ7,4,348,,,2,346
89386,2j5n,A,Q5SI02,1,516,1,516,1,516
89387,2j5n,B,Q5SI02,1,516,1,516,1,516
89398,2j5s,A,A0ACD6B991,11,263,,253,1,253
89399,2j5s,B,A0ACD6B991,11,263,,253,1,253
89413,2j5x,A,P62330,1,175,,,1,175
89414,2j5x,B,P62330,1,175,,,1,175
89425,2j62,A,Q0TR53,1,594,,624,31,624
89426,2j62,B,Q0TR53,1,594,,624,31,624
89466,2j6l,A,P49419,2,500,,500,29,527
89467,2j6l,B,P49419,2,500,,500,29,527
89468,2j6l,C,P49419,2,500,,500,29,527
89469,2j6l,D,P49419,2,500,,500,29,527
89470,2j6l,E,P49419,2,500,,500,29,527
89471,2j6l,F,P49419,2,500,,500,29,527
89472,2j6l,G,P49419,2,500,,500,29,527
89473,2j6l,H,P49419,2,500,,500,29,527
