PDB,CHAIN,ACCESSION,EC_NUMBER
1mfr,M,P07798,1.16.3.1
1mfr,N,P07798,1.16.3.1
1mfr,O,P07798,1.16.3.1
1mfr,P,P07798,1.16.3.1
1mfr,Q,P07798,1.16.3.1
1mfr,R,P07798,1.16.3.1
1mfr,S,P07798,1.16.3.1
1mfr,T,P07798,1.16.3.1
1mfr,U,P07798,1.16.3.1
1mfr,V,P07798,1.16.3.1
1mfr,W,P07798,1.16.3.1
1mfr,X,P07798,1.16.3.1
1mfu,A,P0DUB6,3.2.1.1
1mfv,A,P0DUB6,3.2.1.1
1mfw,A,O15075,2.7.11.1
1mfz,A,P11759,1.1.1.132
1mfz,B,P11759,1.1.1.132
1mfz,C,P11759,1.1.1.132
1mfz,D,P11759,1.1.1.132
1mg0,A,P00327,1.1.1.1
1mg0,B,P00327,1.1.1.1
1mg0,C,P00327,1.1.1.1
1mg0,D,P00327,1.1.1.1
1mg2,A,P29894,1.4.9.1
1mg2,B,P22619,1.4.9.1
1mg2,E,P29894,1.4.9.1
1mg2,F,P22619,1.4.9.1
1mg2,I,P29894,1.4.9.1
1mg2,J,P22619,1.4.9.1
1mg2,M,P29894,1.4.9.1
1mg2,N,P22619,1.4.9.1
1mg3,A,P29894,1.4.9.1
1mg3,B,P22619,1.4.9.1
1mg3,E,P29894,1.4.9.1
1mg3,F,P22619,1.4.9.1
1mg3,I,P29894,1.4.9.1
1mg3,J,P22619,1.4.9.1
1mg3,M,P29894,1.4.9.1
1mg3,N,P22619,1.4.9.1
1mg4,A,O15075,2.7.11.1
1mg5,A,P00334,1.1.1.1
1mg5,B,P00334,1.1.1.1
1mg6,A,O57385,3.1.1.4
1mg8,A,Q9WVS6,2.3.2.31
1mgn,A,P02185,1.11.1.-
1mgn,A,P02185,1.7.-.-
1mgo,A,P00327,1.1.1.1
1mgo,B,P00327,1.1.1.1
1mgr,A,P30289,4.6.1.24
1mgt,A,O74023,2.1.1.63
1mgv,A,P12995,2.6.1.62
1mgv,B,P12995,2.6.1.62
1mgw,A,P30289,4.6.1.24
1mgx,A,P00740,3.4.21.22
1mh0,A,P00734,3.4.21.5
1mh0,B,P00734,3.4.21.5
1mh1,A,P63000,3.6.5.2
1mh2,A,P60043,3.1.1.4
1mh2,B,P60044,3.1.1.4
1mh7,A,P60043,3.1.1.4
1mh8,A,P60043,3.1.1.4
1mh9,A,Q9NPB1,3.1.3.-
1mhc,C,P03889,7.1.1.2
1mhc,F,P03889,7.1.1.2
1mhl,A,P05164,1.11.2.2
1mhl,B,P05164,1.11.2.2
1mhl,C,P05164,1.11.2.2
1mhl,D,P05164,1.11.2.2
1mhm,A,Q04694,4.1.1.50
1mhm,B,Q04694,4.1.1.50
1mhs,A,P07038,7.1.2.1
1mhs,B,P07038,7.1.2.1
1mht,A,P05102,2.1.1.37
1mhw,A,P07711,3.4.22.15
1mhw,B,P07711,3.4.22.15
1mhw,C,P07711,3.4.22.15
1mhw,D,P07711,3.4.22.15
1mhy,B,P27354,1.14.13.25
1mhy,D,P27353,1.14.13.25
1mhy,G,P27355,1.14.13.25
1mhz,B,P27354,1.14.13.25
1mhz,D,P27353,1.14.13.25
1mhz,G,P27355,1.14.13.25
1mi3,A,O74237,1.1.1.307
1mi3,B,O74237,1.1.1.307
1mi3,C,O74237,1.1.1.307
1mi3,D,O74237,1.1.1.307
1mi4,A,P0A6D3,2.5.1.19
1mi8,A,Q55418,3.1.-.-
1mi8,A,Q55418,5.6.2.3
1mif,A,P14174,5.3.2.1
1mif,A,P14174,5.3.3.12
1mif,B,P14174,5.3.2.1
1mif,B,P14174,5.3.3.12
1mif,C,P14174,5.3.2.1
1mif,C,P14174,5.3.3.12
1mii,A,P56636,3.2.1.17
1mik,A,P62937,5.2.1.8
1mio,A,P00467,1.18.6.1
1mio,B,P11347,1.18.6.1
1mio,C,P00467,1.18.6.1
1mio,D,P11347,1.18.6.1
1mir,A,P00787,3.4.22.1
1mir,B,P00787,3.4.22.1
1miv,A,Q7SIB1,2.7.7.72
1miv,B,Q7SIB1,2.7.7.72
1miw,A,Q7SIB1,2.7.7.72
1miw,B,Q7SIB1,2.7.7.72
1miy,A,Q7SIB1,2.7.7.72
1miy,B,Q7SIB1,2.7.7.72
1mj1,A,P0CE47,3.6.5.3
1mj3,A,P14604,4.2.1.17
1mj3,A,P14604,5.3.3.8
1mj3,B,P14604,4.2.1.17
1mj3,B,P14604,5.3.3.8
1mj3,C,P14604,4.2.1.17
1mj3,C,P14604,5.3.3.8
1mj3,D,P14604,4.2.1.17
1mj3,D,P14604,5.3.3.8
1mj3,E,P14604,4.2.1.17
1mj3,E,P14604,5.3.3.8
1mj3,F,P14604,4.2.1.17
1mj3,F,P14604,5.3.3.8
1mj4,A,P51687,1.8.3.1
1mj5,A,D4Z2G1,3.8.1.5
1mj9,A,Q08649,2.3.1.-
1mj9,A,Q08649,2.3.1.48
1mja,A,Q08649,2.3.1.-
1mja,A,Q08649,2.3.1.48
1mjb,A,Q08649,2.3.1.-
1mjb,A,Q08649,2.3.1.48
1mjf,A,Q8U4G1,2.5.1.-
1mjf,A,Q8U4G1,2.5.1.104
1mjf,A,Q8U4G1,2.5.1.16
1mjf,A,Q8U4G1,2.5.1.23
1mjf,B,Q8U4G1,2.5.1.-
1mjf,B,Q8U4G1,2.5.1.104
1mjf,B,Q8U4G1,2.5.1.16
1mjf,B,Q8U4G1,2.5.1.23
1mjg,A,P27989,1.2.7.4
1mjg,B,P27989,1.2.7.4
1mjg,C,P27989,1.2.7.4
1mjg,D,P27989,1.2.7.4
1mjg,M,P27988,2.3.1.169
1mjg,N,P27988,2.3.1.169
1mjg,O,P27988,2.3.1.169
1mjg,P,P27988,2.3.1.169
1mjt,A,P0A004,1.14.14.47
1mjt,B,P0A004,1.14.14.47
1mjw,A,P0A7A9,3.6.1.1
1mjw,B,P0A7A9,3.6.1.1
1mjx,A,P0A7A9,3.6.1.1
1mjx,B,P0A7A9,3.6.1.1
1mjy,A,P0A7A9,3.6.1.1
1mjy,B,P0A7A9,3.6.1.1
1mjz,A,P0A7A9,3.6.1.1
1mk0,A,P13299,3.1.-.-
1mk1,A,O33199,3.6.1.13
1mk8,A,P00431,1.11.1.5
1mka,A,P0A6Q3,4.2.1.59
1mka,A,P0A6Q3,5.3.3.14
1mka,B,P0A6Q3,4.2.1.59
1mka,B,P0A6Q3,5.3.3.14
1mkb,A,P0A6Q3,4.2.1.59
1mkb,A,P0A6Q3,5.3.3.14
1mkb,B,P0A6Q3,4.2.1.59
1mkb,B,P0A6Q3,5.3.3.14
1mkd,A,Q08499,3.1.4.53
1mkd,B,Q08499,3.1.4.53
1mkd,C,Q08499,3.1.4.53
1mkd,D,Q08499,3.1.4.53
1mkd,E,Q08499,3.1.4.53
1mkd,F,Q08499,3.1.4.53
1mkd,G,Q08499,3.1.4.53
1mkd,H,Q08499,3.1.4.53
1mkd,I,Q08499,3.1.4.53
1mkd,J,Q08499,3.1.4.53
1mkd,K,Q08499,3.1.4.53
1mkd,L,Q08499,3.1.4.53
1mkh,A,Q9V011,6.1.1.10
1mki,A,O31465,3.5.1.2
1mki,B,O31465,3.5.1.2
1mkp,A,Q16828,3.1.3.16
1mkp,A,Q16828,3.1.3.48
1mkq,A,P00431,1.11.1.5
1mkr,A,P00431,1.11.1.5
1mks,A,P00593,3.1.1.4
1mkt,A,P00593,3.1.1.4
1mku,A,P00593,3.1.1.4
1mkv,A,P00593,3.1.1.4
1mkw,H,P00735,3.4.21.5
1mkw,K,P00735,3.4.21.5
1mkw,L,P00735,3.4.21.5
1mkx,H,P00735,3.4.21.5
1mkx,K,P00735,3.4.21.5
1mkx,L,P00735,3.4.21.5
1ml1,A,P04789,5.3.1.1
1ml1,C,P04789,5.3.1.1
1ml1,E,P04789,5.3.1.1
1ml1,G,P04789,5.3.1.1
1ml1,I,P04789,5.3.1.1
1ml1,K,P04789,5.3.1.1
1ml2,A,P00431,1.11.1.5
1ml3,A,P22513,1.2.1.12
1ml3,B,P22513,1.2.1.12
1ml3,C,P22513,1.2.1.12
1ml3,D,P22513,1.2.1.12
1ml4,A,P77918,2.1.3.2
1ml6,A,P10648,2.5.1.18
1ml6,B,P10648,2.5.1.18
1ml7,A,Q94734,1.7.6.1
1ml9,A,Q8X225,2.1.1.355
1mla,A,P0AAI9,2.3.1.39
1mlc,E,P00698,3.2.1.17
1mlc,F,P00698,3.2.1.17
1mld,A,P00346,1.1.1.37
1mld,B,P00346,1.1.1.37
1mld,C,P00346,1.1.1.37
1mld,D,P00346,1.1.1.37
1mlf,A,P02185,1.11.1.-
1mlf,A,P02185,1.7.-.-
1mlg,A,P02185,1.11.1.-
1mlg,A,P02185,1.7.-.-
1mlh,A,P02185,1.11.1.-
1mlh,A,P02185,1.7.-.-
1mli,A,P00948,5.3.3.4
1mli,B,P00948,5.3.3.4
1mli,C,P00948,5.3.3.4
1mli,D,P00948,5.3.3.4
1mli,E,P00948,5.3.3.4
1mli,F,P00948,5.3.3.4
1mli,G,P00948,5.3.3.4
1mli,H,P00948,5.3.3.4
1mli,I,P00948,5.3.3.4
1mli,J,P00948,5.3.3.4
1mlj,A,P02185,1.11.1.-
1mlj,A,P02185,1.7.-.-
1mlk,A,P02185,1.11.1.-
1mlk,A,P02185,1.7.-.-
1mll,A,P02185,1.11.1.-
1mll,A,P02185,1.7.-.-
1mlm,A,P02185,1.11.1.-
1mlm,A,P02185,1.7.-.-
1mln,A,P02185,1.11.1.-
1mln,A,P02185,1.7.-.-
1mlo,A,P02185,1.11.1.-
1mlo,A,P02185,1.7.-.-
1mlq,A,P02185,1.11.1.-
1mlq,A,P02185,1.7.-.-
1mlr,A,P02185,1.11.1.-
1mlr,A,P02185,1.7.-.-
1mls,A,P02185,1.11.1.-
1mls,A,P02185,1.7.-.-
1mlu,A,P02185,1.11.1.-
1mlu,A,P02185,1.7.-.-
1mlv,A,Q43088,2.1.1.127
1mlv,A,Q43088,2.1.1.259
1mlv,B,Q43088,2.1.1.127
1mlv,B,Q43088,2.1.1.259
1mlv,C,Q43088,2.1.1.127
1mlv,C,Q43088,2.1.1.259
1mlw,A,P17752,1.14.16.4
1mly,A,P12995,2.6.1.62
1mly,B,P12995,2.6.1.62
1mlz,A,P12995,2.6.1.62
1mlz,B,P12995,2.6.1.62
1mm2,A,Q14839,3.6.4.-
1mm3,A,Q14839,3.6.4.-
1mm4,A,P37001,2.3.1.251
1mm5,A,P37001,2.3.1.251
1mm8,A,Q46731,3.1.-.-
1mma,A,P08799,3.6.1.32
1mmb,A,P22894,3.4.24.34
1mmd,A,P08799,3.6.1.32
1mmf,A,Q59476,4.2.1.30
1mmf,B,O08505,4.2.1.28
1mmf,B,O08505,4.2.1.30
1mmf,E,O08505,4.2.1.28
1mmf,E,O08505,4.2.1.30
1mmf,G,Q59475,4.2.1.28
1mmf,G,Q59475,4.2.1.30
1mmf,L,Q59476,4.2.1.30
1mmf,M,Q59475,4.2.1.28
1mmf,M,Q59475,4.2.1.30
1mmg,A,P08799,3.6.1.32
1mmi,A,P0A988,2.7.7.7
1mmi,B,P0A988,2.7.7.7
1mmj,N,P00772,3.4.21.36
1mmk,A,P00439,1.14.16.1
1mml,A,P03355,2.7.7.-
1mml,A,P03355,2.7.7.49
1mml,A,P03355,2.7.7.7
1mml,A,P03355,3.1.-.-
1mml,A,P03355,3.1.26.4
1mml,A,P03355,3.4.23.-
1mmm,A,P00448,1.15.1.1
1mmm,B,P00448,1.15.1.1
1mmn,A,P08799,3.6.1.32
1mmo,B,P18798,1.14.13.25
1mmo,C,P18798,1.14.13.25
1mmo,D,P22869,1.14.13.25
1mmo,E,P22869,1.14.13.25
1mmo,G,P11987,1.14.13.25
1mmo,H,P11987,1.14.13.25
1mmp,A,P09237,3.4.24.23
1mmp,B,P09237,3.4.24.23
1mmq,A,P09237,3.4.24.23
1mmr,A,P09237,3.4.24.23
1mmt,A,P00439,1.14.16.1
1mmu,A,Q9ZB17,5.1.3.3
1mmu,B,Q9ZB17,5.1.3.3
1mmv,A,P29476,1.14.13.39
1mmv,B,P29476,1.14.13.39
1mmw,A,P29476,1.14.13.39
1mmw,B,P29476,1.14.13.39
1mmx,A,Q9ZB17,5.1.3.3
1mmx,B,Q9ZB17,5.1.3.3
1mmy,A,Q9ZB17,5.1.3.3
1mmy,B,Q9ZB17,5.1.3.3
1mmz,A,Q9ZB17,5.1.3.3
1mmz,B,Q9ZB17,5.1.3.3
1mn0,A,Q9ZB17,5.1.3.3
1mn0,B,Q9ZB17,5.1.3.3
1mn1,A,Q02567,1.11.1.13
1mn2,A,Q02567,1.11.1.13
1mn6,A,Q9ZGI2,2.3.1.239
1mn6,A,Q9ZGI2,2.3.1.240
1mn6,B,Q9ZGI2,2.3.1.239
1mn6,B,Q9ZGI2,2.3.1.240
1mn7,A,P22887,2.7.4.6
1mn7,B,P22887,2.7.4.6
1mn9,A,P22887,2.7.4.6
1mn9,B,P22887,2.7.4.6
1mn9,C,P22887,2.7.4.6
1mna,A,Q9ZGI2,2.3.1.239
1mna,A,Q9ZGI2,2.3.1.240
1mna,B,Q9ZGI2,2.3.1.239
1mna,B,Q9ZGI2,2.3.1.240
1mnc,A,P22894,3.4.24.34
1mnd,A,P08799,3.6.1.32
1mne,A,P08799,3.6.1.32
1mnf,A,P0A6F5,5.6.1.7
1mnf,B,P0A6F5,5.6.1.7
1mnf,C,P0A6F5,5.6.1.7
1mnf,D,P0A6F5,5.6.1.7
1mnf,E,P0A6F5,5.6.1.7
1mnf,F,P0A6F5,5.6.1.7
1mnf,G,P0A6F5,5.6.1.7
1mnf,H,P0A6F5,5.6.1.7
1mnf,I,P0A6F5,5.6.1.7
1mnf,J,P0A6F5,5.6.1.7
1mnf,K,P0A6F5,5.6.1.7
1mnf,L,P0A6F5,5.6.1.7
1mnf,M,P0A6F5,5.6.1.7
1mnf,N,P0A6F5,5.6.1.7
1mng,A,P61503,1.15.1.1
1mng,B,P61503,1.15.1.1
1mnh,A,P02189,1.11.1.-
1mnh,A,P02189,1.7.-.-
1mni,A,P02189,1.11.1.-
1mni,A,P02189,1.7.-.-
1mni,B,P02189,1.11.1.-
1mni,B,P02189,1.7.-.-
1mnj,A,P02189,1.11.1.-
1mnj,A,P02189,1.7.-.-
1mnj,B,P02189,1.11.1.-
1mnj,B,P02189,1.7.-.-
1mnk,A,P02189,1.11.1.-
1mnk,A,P02189,1.7.-.-
1mnk,B,P02189,1.11.1.-
1mnk,B,P02189,1.7.-.-
1mno,A,P02189,1.11.1.-
1mno,A,P02189,1.7.-.-
1mno,B,P02189,1.11.1.-
1mno,B,P02189,1.7.-.-
1mnp,A,Q02567,1.11.1.13
1mnq,A,Q9ZGI2,2.3.1.239
1mnq,A,Q9ZGI2,2.3.1.240
1mnq,B,Q9ZGI2,2.3.1.239
1mnq,B,Q9ZGI2,2.3.1.240
1mns,A,P11444,5.1.2.2
1mnz,A,P24300,5.3.1.5
1mo0,A,Q10657,4.2.3.3
1mo0,A,Q10657,5.3.1.1
1mo0,B,Q10657,4.2.3.3
1mo0,B,Q10657,5.3.1.1
1mo2,A,Q03133,2.3.1.94
1mo2,B,Q03133,2.3.1.94
1mo3,A,P9WHJ3,3.1.-.-
1mo4,A,P9WHJ3,3.1.-.-
1mo5,A,P9WHJ3,3.1.-.-
1mo6,A,P9WHJ3,3.1.-.-
1mo7,A,P06685,7.2.2.13
1mo8,A,P06685,7.2.2.13
1mo9,A,Q56839,1.8.1.5
1mo9,B,Q56839,1.8.1.5
1moa,A,P02185,1.11.1.-
1moa,A,P02185,1.7.-.-
1mob,A,P02185,1.11.1.-
1mob,A,P02185,1.7.-.-
1moc,A,P02185,1.11.1.-
1moc,A,P02185,1.7.-.-
1mod,A,P02185,1.11.1.-
1mod,A,P02185,1.7.-.-
1moj,A,Q9HMP7,1.16.-.-
1moj,B,Q9HMP7,1.16.-.-
1moj,C,Q9HMP7,1.16.-.-
1moj,D,Q9HMP7,1.16.-.-
1mok,A,Q56839,1.8.1.5
1mok,B,Q56839,1.8.1.5
1mok,C,Q56839,1.8.1.5
1mok,D,Q56839,1.8.1.5
1mom,A,P16094,3.2.2.22
1moo,A,P00918,4.2.1.1
1moo,A,P00918,4.2.1.69
1mop,A,P9WIL5,6.3.2.1
1mop,B,P9WIL5,6.3.2.1
1moq,A,P17169,2.6.1.16
1mor,A,P17169,2.6.1.16
1mos,A,P17169,2.6.1.16
1mow,A,P05725,3.1.-.-
1mow,A,P21505,3.1.-.-
1mow,D,P05725,3.1.-.-
1mow,D,P21505,3.1.-.-
1mow,G,P05725,3.1.-.-
1mow,G,P21505,3.1.-.-
1mow,J,P05725,3.1.-.-
1mow,J,P21505,3.1.-.-
1mox,A,P00533,2.7.10.1
1mox,B,P00533,2.7.10.1
1mp0,A,P11766,1.1.1.-
1mp0,A,P11766,1.1.1.1
1mp0,A,P11766,1.1.1.284
1mp0,B,P11766,1.1.1.-
1mp0,B,P11766,1.1.1.1
1mp0,B,P11766,1.1.1.284
1mp2,A,O33199,3.6.1.13
1mp3,A,Q9F7G8,2.7.7.24
1mp3,B,Q9F7G8,2.7.7.24
1mp4,A,Q9F7G8,2.7.7.24
1mp4,B,Q9F7G8,2.7.7.24
1mp5,A,P26393,2.7.7.24
1mp5,B,P26393,2.7.7.24
1mp5,C,P26393,2.7.7.24
1mp5,D,P26393,2.7.7.24
1mp8,A,Q05397,2.7.10.2
1mpg,A,P04395,3.2.2.21
1mpg,B,P04395,3.2.2.21
1mpl,A,P15555,3.4.16.4
1mpp,A,P09177,3.4.23.23
1mpt,A,Q99405,3.4.21.-
1mpw,A,P00183,1.14.15.1
1mpw,B,P00183,1.14.15.1
1mpx,A,Q6YBS3,3.1.1.43
1mpx,B,Q6YBS3,3.1.1.43
1mpx,C,Q6YBS3,3.1.1.43
1mpx,D,Q6YBS3,3.1.1.43
1mpy,A,P06622,1.13.11.2
1mpy,B,P06622,1.13.11.2
1mpy,C,P06622,1.13.11.2
1mpy,D,P06622,1.13.11.2
1mq0,A,P32320,3.5.4.5
1mq0,B,P32320,3.5.4.5
1mq2,A,P06746,2.7.7.7
1mq2,A,P06746,4.2.99.-
1mq2,A,P06746,4.2.99.18
1mq3,A,P06746,2.7.7.7
1mq3,A,P06746,4.2.99.-
1mq3,A,P06746,4.2.99.18
1mq4,A,O14965,2.7.11.1
1mq5,A,P00742,3.4.21.6
1mq5,L,P00742,3.4.21.6
1mq6,A,P00742,3.4.21.6
1mq6,L,P00742,3.4.21.6
1mq7,A,P9WNS5,3.6.1.23
1mqb,A,P29317,2.7.10.1
1mqb,B,P29317,2.7.10.1
1mqe,A,O33199,3.6.1.13
1mqf,A,P42321,1.11.1.6
1mqo,A,P04190,3.5.2.6
1mqp,A,Q09LY5,3.2.1.-
1mqq,A,Q8VVD2,3.2.1.131
1mqr,A,Q09LY5,3.2.1.-
1mqw,A,O33199,3.6.1.13
1mr2,A,O33199,3.6.1.13
1mr5,A,Q26966,3.2.1.18
1mr7,A,P50870,2.3.1.-
1mr7,B,P50870,2.3.1.-
1mr7,C,P50870,2.3.1.-
1mr7,X,P50870,2.3.1.-
1mr7,Y,P50870,2.3.1.-
1mr7,Z,P50870,2.3.1.-
1mr9,A,P50870,2.3.1.-
1mr9,B,P50870,2.3.1.-
1mr9,C,P50870,2.3.1.-
1mr9,X,P50870,2.3.1.-
1mr9,Y,P50870,2.3.1.-
1mr9,Z,P50870,2.3.1.-
1mra,A,P11444,5.1.2.2
1mrg,A,P16094,3.2.2.22
1mrh,A,P16094,3.2.2.22
1mri,A,P16094,3.2.2.22
1mrj,A,P09989,3.2.2.22
1mrk,A,P09989,3.2.2.22
1mrl,A,P50870,2.3.1.-
1mrl,B,P50870,2.3.1.-
1mrl,C,P50870,2.3.1.-
1mrn,A,P9WKE1,2.7.4.9
1mro,A,P11558,2.8.4.1
1mro,B,P11560,2.8.4.1
1mro,C,P11562,2.8.4.1
1mro,D,P11558,2.8.4.1
1mro,E,P11560,2.8.4.1
1mro,F,P11562,2.8.4.1
1mrq,A,Q04828,1.1.1.-
1mrq,A,Q04828,1.1.1.112
1mrq,A,Q04828,1.1.1.149
1mrq,A,Q04828,1.1.1.209
1mrq,A,Q04828,1.1.1.210
1mrq,A,Q04828,1.1.1.270
1mrq,A,Q04828,1.1.1.357
1mrq,A,Q04828,1.1.1.51
1mrq,A,Q04828,1.1.1.53
1mrq,A,Q04828,1.1.1.62
1mrq,A,Q04828,1.3.1.20
1mrr,A,P69924,1.17.4.1
1mrr,B,P69924,1.17.4.1
1mrs,A,P9WKE1,2.7.4.9
1mru,A,P9WI81,2.7.11.1
1mru,B,P9WI81,2.7.11.1
1mrv,A,P31751,2.7.11.1
1mrw,A,P03367,2.7.7.-
1mrw,A,P03367,2.7.7.49
1mrw,A,P03367,2.7.7.7
1mrw,A,P03367,3.1.-.-
1mrw,A,P03367,3.1.13.2
1mrw,A,P03367,3.1.26.13
1mrw,A,P03367,3.4.23.16
1mrw,B,P03367,2.7.7.-
1mrw,B,P03367,2.7.7.49
1mrw,B,P03367,2.7.7.7
1mrw,B,P03367,3.1.-.-
1mrw,B,P03367,3.1.13.2
1mrw,B,P03367,3.1.26.13
1mrw,B,P03367,3.4.23.16
1mrx,A,P03367,2.7.7.-
1mrx,A,P03367,2.7.7.49
1mrx,A,P03367,2.7.7.7
1mrx,A,P03367,3.1.-.-
1mrx,A,P03367,3.1.13.2
1mrx,A,P03367,3.1.26.13
1mrx,A,P03367,3.4.23.16
1mrx,B,P03367,2.7.7.-
1mrx,B,P03367,2.7.7.49
1mrx,B,P03367,2.7.7.7
1mrx,B,P03367,3.1.-.-
1mrx,B,P03367,3.1.13.2
1mrx,B,P03367,3.1.26.13
1mrx,B,P03367,3.4.23.16
1mry,A,P31751,2.7.11.1
1mrz,A,Q9WZW1,2.7.1.26
1mrz,A,Q9WZW1,2.7.7.2
1mrz,B,Q9WZW1,2.7.1.26
1mrz,B,Q9WZW1,2.7.7.2
1ms0,A,Q26966,3.2.1.18
1ms0,B,Q26966,3.2.1.18
1ms1,A,Q26966,3.2.1.18
1ms1,B,Q26966,3.2.1.18
1ms3,A,Q26966,3.2.1.18
1ms3,B,Q26966,3.2.1.18
1ms4,A,Q26966,3.2.1.18
1ms4,B,Q26966,3.2.1.18
1ms5,A,Q26966,3.2.1.18
1ms5,B,Q26966,3.2.1.18
1ms6,A,P25774,3.4.22.27
1ms8,A,Q26966,3.2.1.18
1ms8,B,Q26966,3.2.1.18
1ms9,A,Q26966,3.2.1.18
1ms9,B,Q26966,3.2.1.18
1msd,A,P04179,1.15.1.1
1msd,B,P04179,1.15.1.1
1msk,A,P13009,2.1.1.13
1msm,A,P03367,2.7.7.-
1msm,A,P03367,2.7.7.49
1msm,A,P03367,2.7.7.7
1msm,A,P03367,3.1.-.-
1msm,A,P03367,3.1.13.2
1msm,A,P03367,3.1.26.13
1msm,A,P03367,3.4.23.16
1msm,B,P03367,2.7.7.-
1msm,B,P03367,2.7.7.49
1msm,B,P03367,2.7.7.7
1msm,B,P03367,3.1.-.-
1msm,B,P03367,3.1.13.2
1msm,B,P03367,3.1.26.13
1msm,B,P03367,3.4.23.16
1msn,A,P03367,2.7.7.-
1msn,A,P03367,2.7.7.49
1msn,A,P03367,2.7.7.7
1msn,A,P03367,3.1.-.-
1msn,A,P03367,3.1.13.2
1msn,A,P03367,3.1.26.13
1msn,A,P03367,3.4.23.16
1msn,B,P03367,2.7.7.-
1msn,B,P03367,2.7.7.49
1msn,B,P03367,2.7.7.7
1msn,B,P03367,3.1.-.-
1msn,B,P03367,3.1.13.2
1msn,B,P03367,3.1.26.13
1msn,B,P03367,3.4.23.16
1mss,A,P04789,5.3.1.1
1mss,B,P04789,5.3.1.1
1msv,A,P17707,4.1.1.50
1msv,B,P17707,4.1.1.50
1msw,D,P00573,2.7.7.6
1msz,A,P38935,3.6.4.12
1msz,A,P38935,3.6.4.13
1mt1,A,Q57764,4.1.1.19
1mt1,B,Q57764,4.1.1.19
1mt1,C,Q57764,4.1.1.19
1mt1,D,Q57764,4.1.1.19
1mt1,E,Q57764,4.1.1.19
1mt1,F,Q57764,4.1.1.19
1mt1,G,Q57764,4.1.1.19
1mt1,H,Q57764,4.1.1.19
1mt1,I,Q57764,4.1.1.19
1mt1,J,Q57764,4.1.1.19
1mt1,K,Q57764,4.1.1.19
1mt1,L,Q57764,4.1.1.19
1mt3,A,P96084,3.4.11.5
1mt5,A,P97612,3.1.1.-
1mt5,A,P97612,3.5.1.99
1mt5,B,P97612,3.1.1.-
1mt5,B,P97612,3.5.1.99
1mt5,C,P97612,3.1.1.-
1mt5,C,P97612,3.5.1.99
1mt5,D,P97612,3.1.1.-
1mt5,D,P97612,3.5.1.99
1mt5,E,P97612,3.1.1.-
1mt5,E,P97612,3.5.1.99
1mt5,F,P97612,3.1.1.-
1mt5,F,P97612,3.5.1.99
1mt5,G,P97612,3.1.1.-
1mt5,G,P97612,3.5.1.99
1mt5,H,P97612,3.1.1.-
1mt5,H,P97612,3.5.1.99
1mt5,I,P97612,3.1.1.-
1mt5,I,P97612,3.5.1.99
1mt5,J,P97612,3.1.1.-
1mt5,J,P97612,3.5.1.99
1mt5,K,P97612,3.1.1.-
1mt5,K,P97612,3.5.1.99
1mt5,L,P97612,3.1.1.-
1mt5,L,P97612,3.5.1.99
1mt5,M,P97612,3.1.1.-
1mt5,M,P97612,3.5.1.99
1mt5,N,P97612,3.1.1.-
1mt5,N,P97612,3.5.1.99
1mt5,O,P97612,3.1.1.-
1mt5,O,P97612,3.5.1.99
1mt5,P,P97612,3.1.1.-
1mt5,P,P97612,3.5.1.99
1mt6,A,Q8WTS6,2.1.1.364
1mt7,A,P03369,2.7.7.-
1mt7,A,P03369,2.7.7.49
1mt7,A,P03369,2.7.7.7
1mt7,A,P03369,3.1.-.-
1mt7,A,P03369,3.1.13.2
1mt7,A,P03369,3.1.26.13
1mt7,A,P03369,3.4.23.16
1mt7,B,P03369,2.7.7.-
1mt7,B,P03369,2.7.7.49
1mt7,B,P03369,2.7.7.7
1mt7,B,P03369,3.1.-.-
1mt7,B,P03369,3.1.13.2
1mt7,B,P03369,3.1.26.13
1mt7,B,P03369,3.4.23.16
1mt8,A,P03369,2.7.7.-
1mt8,A,P03369,2.7.7.49
1mt8,A,P03369,2.7.7.7
1mt8,A,P03369,3.1.-.-
1mt8,A,P03369,3.1.13.2
1mt8,A,P03369,3.1.26.13
1mt8,A,P03369,3.4.23.16
1mt8,B,P03369,2.7.7.-
1mt8,B,P03369,2.7.7.49
1mt8,B,P03369,2.7.7.7
1mt8,B,P03369,3.1.-.-
1mt8,B,P03369,3.1.13.2
1mt8,B,P03369,3.1.26.13
1mt8,B,P03369,3.4.23.16
1mt9,A,P03369,2.7.7.-
1mt9,A,P03369,2.7.7.49
1mt9,A,P03369,2.7.7.7
1mt9,A,P03369,3.1.-.-
1mt9,A,P03369,3.1.13.2
1mt9,A,P03369,3.1.26.13
1mt9,A,P03369,3.4.23.16
1mt9,B,P03369,2.7.7.-
1mt9,B,P03369,2.7.7.49
1mt9,B,P03369,2.7.7.7
1mt9,B,P03369,3.1.-.-
1mt9,B,P03369,3.1.13.2
1mt9,B,P03369,3.1.26.13
1mt9,B,P03369,3.4.23.16
1mtb,A,P03369,2.7.7.-
1mtb,A,P03369,2.7.7.49
1mtb,A,P03369,2.7.7.7
1mtb,A,P03369,3.1.-.-
1mtb,A,P03369,3.1.13.2
1mtb,A,P03369,3.1.26.13
1mtb,A,P03369,3.4.23.16
1mtb,B,P03369,2.7.7.-
1mtb,B,P03369,2.7.7.49
1mtb,B,P03369,2.7.7.7
1mtb,B,P03369,3.1.-.-
1mtb,B,P03369,3.1.13.2
